gene_id	gene_name	HCT116_EpiT_01	HCT116_EpiT_02	HCT116_EpiT_03	HCT116_Epi_01	HCT116_Epi_02	HCT116_Epi_03
A1BG	A1BG	5	1	1	4	2	2
A1BG-AS1	A1BG-AS1	3	2	2	1	0	1
A1CF	A1CF	20	12	15	15	13	10
A2M	A2M	0	0	0	1	0	0
A2M-AS1	A2M-AS1	4	6	1	9	10	6
A2ML1	A2ML1	0	1	0	0	0	0
A2MP1	A2MP1	0	1	0	0	0	0
A3GALT2	A3GALT2	0	0	0	2	0	1
A4GALT	A4GALT	629	720.999	635	781.999	805.999	807.001
A4GNT	A4GNT	0	0	0	0	0	0
AA06	AA06	0	0	0	0	0	0
AAAS	AAAS	1445	1660	1328.001	1770	1708	1702.999
AACS	AACS	385	463	379	631	614	548
AACSP1	AACSP1	61	68	80	86	72	111
AADAC	AADAC	56	44	34	28	34	24
AADACL2	AADACL2	0	0	0	0	0	0
AADACL3	AADACL3	0	0	0	0	0	0
AADACL4	AADACL4	0	0	0	0	0	0
AADAT	AADAT	457	501	417	611	631	656
AAED1	AAED1	426	488	354	393	443	421
AAGAB	AAGAB	2556	2848	2230	2344	2398.001	2258
AAK1	AAK1	1205	1406	1238	1610	1757	1776
AAMDC	AAMDC	37	41	34	26	45	33
AAMP	AAMP	4041	4487	3732	4142	4398	4158
AANAT	AANAT	0	0	0	0	2	0
AAR2	AAR2	1355	1696.999	1355	1442	1477	1349
AARD	AARD	0	0	0	1	0	0
AARS	AARS	9136	10006	8637	8668	9159	8061
AARS2	AARS2	826	993.001	903	1078	959	941
AARSD1	AARSD1	1112.785	1161	953.855	1049.062	1073.963	983.241
AASDH	AASDH	294	294.001	210.999	321	353	296.999
AASDHPPT	AASDHPPT	2706	3016	2368	2764	3053	2976
AASS	AASS	246	277	225	293	275.001	243
AATF	AATF	3436	3648	2997	2755	2886	2822
AATK	AATK	47	44	29	69	87	72
AATK-AS1	AATK-AS1	0	0	0	0	0	0
ABAT	ABAT	96	116	124	217	229	213
ABCA1	ABCA1	4	7	5	18	30	17
ABCA10	ABCA10	4	2	9	10	5.004	2
ABCA11P	ABCA11P	327	382	286	369.396	348.065	355.354
ABCA12	ABCA12	3	8	2	19	38	51
ABCA13	ABCA13	1	2	0	2	0	0
ABCA17P	ABCA17P	0	1	2	3	2	1
ABCA2	ABCA2	2409	2688	2454	4470	4357.999	3977
ABCA3	ABCA3	167	197	177	255	176	179
ABCA4	ABCA4	6	6	8	16	3	17
ABCA5	ABCA5	207	195	190	231	279	253
ABCA6	ABCA6	0	2	3	6	2	2
ABCA7	ABCA7	1147.999	1312.001	1278	1838	1692.001	1616
ABCA8	ABCA8	0	0	0	0	0	1
ABCA9	ABCA9	0	0	0	4	0	0
ABCB1	ABCB1	112	117	74	125	138	159
ABCB10	ABCB10	1145	1359	1051	1331	1633	1480
ABCB11	ABCB11	0	0	0	0	0	2
ABCB4	ABCB4	1	0	0	0	0	0
ABCB5	ABCB5	0	0	0	0	0	0
ABCB6	ABCB6	218	191	205	474	426	461
ABCB7	ABCB7	672.999	794.001	620.001	721	713	736
ABCB8	ABCB8	1047	1164.001	988.001	1130	1144	1055
ABCB9	ABCB9	213.001	261	208.001	362	354	321.999
ABCC1	ABCC1	5196.001	5992.999	4925	6235	6724.001	6541.999
ABCC10	ABCC10	706	872	680	1006.001	915	1066.999
ABCC11	ABCC11	5	4	7	2	1	7
ABCC12	ABCC12	0	0	0	0	0	3
ABCC13	ABCC13	0	0	0	0	0	0
ABCC2	ABCC2	952.999	1113	936	2920	2940.001	3169
ABCC3	ABCC3	185	162	140	675	660	531.001
ABCC4	ABCC4	3063	3535.999	2859.001	3117	3227	3221
ABCC5	ABCC5	639	685	560	902	843	843
ABCC5-AS1	ABCC5-AS1	0	0	0	0	0	0
ABCC6	ABCC6	26.924	37.24	22.832	36	36.81	46.618
ABCC6P1	ABCC6P1	1.077	4.76	4	0	0	1.05
ABCC6P2	ABCC6P2	0	0	1.168	0	2.19	1.331
ABCC8	ABCC8	0	1	0	0	0	0
ABCC9	ABCC9	7	3	0	4	0	0
ABCD1	ABCD1	198	267	205	394	388	338
ABCD2	ABCD2	1	3	0	2	4	6
ABCD3	ABCD3	2606	2825	2173	3189	3563	3479
ABCD4	ABCD4	598.001	670.999	520	593	603	625
ABCE1	ABCE1	11842	12901	10234	10731	11654	11027
ABCF1	ABCF1	4060	4526	3712	3620	3883	3725
ABCF2	ABCF2	6101	6877	5597	6021.001	6119	5842
ABCF3	ABCF3	2088	2195	1757	2272	2202	2154
ABCG1	ABCG1	19	16	6	41	68	39
ABCG2	ABCG2	114	119	91	88	119	103
ABCG4	ABCG4	35	50	30	117	108	80
ABCG5	ABCG5	0	0	0	0	0	0
ABCG8	ABCG8	0	0	0	0	0	0
ABHD1	ABHD1	2	0	0	0	0	0
ABHD10	ABHD10	4374.999	4683	3928	6154	7046	6495
ABHD11	ABHD11	491	537.001	447	782.001	756.999	760.999
ABHD12	ABHD12	998.999	1116	927	1115	1204	1091
ABHD12B	ABHD12B	1	0	1	1	1	2
ABHD13	ABHD13	567	560	452	524	610	574
ABHD14A	ABHD14A	142	157	159	189.646	195	194.668
ABHD14A-ACY1	ABHD14A-ACY1	0	0	0	19.015	0	2.972
ABHD14B	ABHD14B	1070	1168	950	1148	1170.999	957.999
ABHD15	ABHD15	327	497	359	531	629	510
ABHD16A	ABHD16A	732	743	551	583	648	567
ABHD16B	ABHD16B	1	0	2	0	0	2
ABHD17A	ABHD17A	2058	2286	1864	2621	2558	2326
ABHD17B	ABHD17B	833	958.001	673	946	998	956
ABHD17C	ABHD17C	807	933	748	1036	1130	1107
ABHD2	ABHD2	2638	3058	2452	2393	2581.001	2408
ABHD3	ABHD3	943	1127	852	985	981	967
ABHD4	ABHD4	176	173	151	289	305	266
ABHD5	ABHD5	755	855	662	866	934	886
ABHD6	ABHD6	372	441.001	297	405.001	464	490.001
ABHD8	ABHD8	69	75	58	115	100	111
ABI1	ABI1	1228	1422	1104.998	1230.002	1362	1194
ABI2	ABI2	1911	2192.001	1885	2702	2895.001	2761
ABI3	ABI3	11	5	5	0	0	0
ABI3BP	ABI3BP	2	3	2	0	5	3
ABL1	ABL1	4000	4685	4006	4182	4360	4066
ABL2	ABL2	3230	4135.999	3270.002	2890.999	2953	2978.001
ABLIM1	ABLIM1	7278.999	8817.001	7033	13135.001	13952.001	12907.002
