symbol	NCG_symbol	entrez
A1BG	A1BG	1
ABG	A1BG	1
GAB	A1BG	1
HYST2477	A1BG	1
A2M	A2M	2
A2MD	A2M	2
CPAMD5	A2M	2
FWP007	A2M	2
S863-7	A2M	2
NAT1	NAT1	9
MNAT	NAT1	9
NATI	NAT1	9
NAT2	NAT2	10
NAT-2	NAT2	10
PNAT	NAT2	10
SERPINA3	SERPINA3	12
AACT	SERPINA3	12
GIG24	SERPINA3	12
GIG25	SERPINA3	12
AADAC	AADAC	13
CES5A1	AADAC	13
AAMP	AAMP	14
AANAT	AANAT	15
DSPS	AANAT	15
SNAT	AANAT	15
AARS1	AARS1	16
AARS	AARS1	16
CMT2N	AARS1	16
EIEE29	AARS1	16
ABAT	ABAT	18
GABA-AT	ABAT	18
GABAT	ABAT	18
NPD009	ABAT	18
ABCA1	ABCA1	19
ABC-1	ABCA1	19
CERP	ABCA1	19
HDLCQTL13	ABCA1	19
HDLDT1	ABCA1	19
HPALP1	ABCA1	19
TGD	ABCA1	19
ABCA2	ABCA2	20
ABC2	ABCA2	20
IDPOGSA	ABCA2	20
ABCA3	ABCA3	21
ABC-C	ABCA3	21
ABC3	ABCA3	21
EST111653	ABCA3	21
LBM180	ABCA3	21
SMDP3	ABCA3	21
ABCB7	ABCB7	22
ABC7	ABCB7	22
ASAT	ABCB7	22
Atm1p	ABCB7	22
EST140535	ABCB7	22
ABCF1	ABCF1	23
ABC27	ABCF1	23
ABC50	ABCF1	23
ABCA4	ABCA4	24
ABC10	ABCA4	24
ABCR	ABCA4	24
ARMD2	ABCA4	24
CORD3	ABCA4	24
FFM	ABCA4	24
RP19	ABCA4	24
STGD	ABCA4	24
STGD1	ABCA4	24
ABL1	ABL1	25
BCR-ABL	ABL1	25
CHDSKM	ABL1	25
JTK7	ABL1	25
bcr/abl	ABL1	25
c-ABL	ABL1	25
c-ABL1	ABL1	25
v-abl	ABL1	25
AOC1	AOC1	26
DAO1	AOC1	26
KAO	AOC1	26
ABL2	ABL2	27
ABLL	ABL2	27
ABO	ABO	28
A3GALT1	ABO	28
NAGAT	ABO	28
ABR	ABR	29
MDB	ABR	29
ACAA1	ACAA1	30
ACAA	ACAA1	30
PTHIO	ACAA1	30
THIO	ACAA1	30
ACACA	ACACA	31
ACACD	ACACA	31
ACC	ACACA	31
ACACB	ACACB	32
ACCB	ACACB	32
HACC275	ACACB	32
ACADL	ACADL	33
ACAD4	ACADL	33
ACADM	ACADM	34
ACAD1	ACADM	34
MCADH	ACADM	34
ACADS	ACADS	35
ACAD3	ACADS	35
SCAD	ACADS	35
ACADSB	ACADSB	36
2-MEBCAD	ACADSB	36
ACAD7	ACADSB	36
SBCAD	ACADSB	36
ACADVL	ACADVL	37
ACAD6	ACADVL	37
LCACD	ACADVL	37
VLCAD	ACADVL	37
ACAT1	ACAT1	38
THIL	ACAT1	38
ACAT2	ACAT2	39
ASIC2	ASIC2	40
ACCN	ASIC2	40
ACCN1a	ASIC2	40
BNaC1	ASIC2	40
MDEG	ASIC2	40
hBNaC1	ASIC2	40
ASIC1	ASIC1	41
ACCN2	ASIC1	41
ASIC	ASIC1	41
BNaC2	ASIC1	41
ACHE	ACHE	43
ACEE	ACHE	43
ARACHE	ACHE	43
N-ACHE	ACHE	43
YT	ACHE	43
ACLY	ACLY	47
ACL	ACLY	47
ATPCL	ACLY	47
CLATP	ACLY	47
ACO1	ACO1	48
ACONS	ACO1	48
HEL60	ACO1	48
IREB1	ACO1	48
IREBP	ACO1	48
IREBP1	ACO1	48
IRP1	ACO1	48
ACR	ACR	49
ACO2	ACO2	50
ACONM	ACO2	50
ICRD	ACO2	50
OCA8	ACO2	50
OPA9	ACO2	50
ACOX1	ACOX1	51
ACOX	ACOX1	51
PALMCOX	ACOX1	51
SCOX	ACOX1	51
ACP1	ACP1	52
HAAP	ACP1	52
LMW-PTP	ACP1	52
LMWPTP	ACP1	52
ACP2	ACP2	53
ACP5	ACP5	54
HPAP	ACP5	54
TRACP5a	ACP5	54
TRACP5b	ACP5	54
TrATPase	ACP5	54
ACP3	ACP3	55
5'-NT	ACP3	55
ACP-3	ACP3	55
ACPP	ACP3	55
TM-PAP	ACP3	55
ACRV1	ACRV1	56
D11S4365	ACRV1	56
SP-10	ACRV1	56
SPACA2	ACRV1	56
ACTA1	ACTA1	58
ACTA	ACTA1	58
ASMA	ACTA1	58
CFTD1	ACTA1	58
CFTDM	ACTA1	58
MPFD	ACTA1	58
NEM3	ACTA1	58
SHPM	ACTA1	58
ACTA2	ACTA2	59
ACTSA	ACTA2	59
ACTB	ACTB	60
BRWS1	ACTB	60
PS1TP5BP1	ACTB	60
ACTC1	ACTC1	70
ACTC	ACTC1	70
ASD5	ACTC1	70
CMD1R	ACTC1	70
CMH11	ACTC1	70
LVNC4	ACTC1	70
ACTG1	ACTG1	71
ACTG	ACTG1	71
DFNA20	ACTG1	71
DFNA26	ACTG1	71
HEL-176	ACTG1	71
ACTG2	ACTG2	72
ACTA3	ACTG2	72
ACTE	ACTG2	72
ACTL3	ACTG2	72
ACTSG	ACTG2	72
VSCM	ACTG2	72
ACTN4	ACTN4	81
ACTININ-4	ACTN4	81
FSGS	ACTN4	81
FSGS1	ACTN4	81
ACTL6A	ACTL6A	86
ARPN-BETA	ACTL6A	86
Arp4	ACTL6A	86
BAF53A	ACTL6A	86
INO80K	ACTL6A	86
ACTN1	ACTN1	87
BDPLT15	ACTN1	87
ACTN2	ACTN2	88
CMD1AA	ACTN2	88
CMH23	ACTN2	88
MYOCOZ	ACTN2	88
ACTN3	ACTN3	89
ACTN3D	ACTN3	89
ACVR1	ACVR1	90
ACTRIA	ACVR1	90
ACVRLK2	ACVR1	90
ALK2	ACVR1	90
SKR1	ACVR1	90
TSRI	ACVR1	90
ACVR1B	ACVR1B	91
ACTRIB	ACVR1B	91
ALK4	ACVR1B	91
SKR2	ACVR1B	91
ACVR2A	ACVR2A	92
ACTRII	ACVR2A	92
ACVR2	ACVR2A	92
ACVR2B	ACVR2B	93
ACTRIIB	ACVR2B	93
ActR-IIB	ACVR2B	93
HTX4	ACVR2B	93
ACVRL1	ACVRL1	94
ACVRLK1	ACVRL1	94
ALK-1	ACVRL1	94
HHT	ACVRL1	94
HHT2	ACVRL1	94
ORW2	ACVRL1	94
SKR3	ACVRL1	94
TSR-I	ACVRL1	94
ACY1	ACY1	95
ACY-1D	ACY1	95
HEL-S-5	ACY1	95
ACYP1	ACYP1	97
ACYPE	ACYP1	97
ACYP2	ACYP2	98
ACYM	ACYP2	98
ACYP	ACYP2	98
ADA	ADA	100
ADAM8	ADAM8	101
CD156	ADAM8	101
CD156a	ADAM8	101
MS2	ADAM8	101
ADAM10	ADAM10	102
AD10	ADAM10	102
AD18	ADAM10	102
CD156c	ADAM10	102
CDw156	ADAM10	102
HsT18717	ADAM10	102
kuz	ADAM10	102
