pathwayName	entrez	gene_symbol
Platelet degranulation	1	A1BG
Neutrophil degranulation	1	A1BG
Platelet activation, signaling and aggregation	1	A1BG
Response to elevated platelet cytosolic Ca2+	1	A1BG
Phase II - Conjugation of compounds	10	NAT2
Biological oxidations	10	NAT2
Metabolism of nucleotides	100	ADA
Purine salvage	100	ADA
Nucleotide salvage	100	ADA
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	1000	CDH2
Adherens junctions interactions	1000	CDH2
Cell-cell junction organization	1000	CDH2
Cell junction organization	1000	CDH2
Myogenesis	1000	CDH2
Post-translational protein phosphorylation	1000	CDH2
Apoptosis	10000	AKT3
Intrinsic Pathway for Apoptosis	10000	AKT3
Activation of BAD and translocation to mitochondria	10000	AKT3
Activation of BH3-only proteins	10000	AKT3
Signaling by ERBB2	10000	AKT3
PIP3 activates AKT signaling	10000	AKT3
Downregulation of ERBB2:ERBB3 signaling	10000	AKT3
Regulation of beta-cell development	10000	AKT3
Signaling by VEGF	10000	AKT3
AKT phosphorylates targets in the cytosol	10000	AKT3
Negative regulation of the PI3K/AKT network	10000	AKT3
Regulation of gene expression in beta cells	10000	AKT3
Transcriptional Regulation by TP53	10000	AKT3
Costimulation by the CD28 family	10000	AKT3
CD28 co-stimulation	10000	AKT3
CD28 dependent PI3K/Akt signaling	10000	AKT3
CTLA4 inhibitory signaling	10000	AKT3
G beta:gamma signalling through PI3Kgamma	10000	AKT3
G-protein beta:gamma signalling	10000	AKT3
VEGFA-VEGFR2 Pathway	10000	AKT3
Mitotic G1 phase and G1/S transition	10000	AKT3
VEGFR2 mediated vascular permeability	10000	AKT3
TP53 Regulates Metabolic Genes	10000	AKT3
Regulation of TP53 Activity	10000	AKT3
Diseases of signal transduction by growth factor receptors and second messengers	10000	AKT3
PTEN Regulation	10000	AKT3
Cyclin E associated events during G1/S transition	10000	AKT3
G1/S Transition	10000	AKT3
S Phase	10000	AKT3
Cyclin A:Cdk2-associated events at S phase entry	10000	AKT3
Downregulation of ERBB2 signaling	10000	AKT3
RAB GEFs exchange GTP for GDP on RABs	10000	AKT3
Transcriptional regulation by RUNX2	10000	AKT3
ESR-mediated signaling	10000	AKT3
Regulation of PTEN stability and activity	10000	AKT3
Intracellular signaling by second messengers	10000	AKT3
Signaling by Nuclear Receptors	10000	AKT3
Rab regulation of trafficking	10000	AKT3
Extra-nuclear estrogen signaling	10000	AKT3
FOXO-mediated transcription	10000	AKT3
Regulation of localization of FOXO transcription factors	10000	AKT3
Estrogen-dependent nuclear events downstream of ESR-membrane signaling	10000	AKT3
PPARA activates gene expression	10001	MED6
Transcriptional regulation of white adipocyte differentiation	10001	MED6
Regulation of lipid metabolism by PPARalpha	10001	MED6
Nuclear Receptor transcription pathway	10002	NR2E3
Metabolism of amino acids and derivatives	10003	NAALAD2
Aspartate and asparagine metabolism	10003	NAALAD2
DAP12 interactions	100049587	SIGLEC14
Neutrophil degranulation	100049587	SIGLEC14
Synthesis of bile acids and bile salts	10005	ACOT8
Bile acid and bile salt metabolism	10005	ACOT8
alpha-linolenic (omega3) and linoleic (omega6) acid metabolism	10005	ACOT8
alpha-linolenic acid (ALA) metabolism	10005	ACOT8
Beta-oxidation of very long chain fatty acids	10005	ACOT8
Peroxisomal lipid metabolism	10005	ACOT8
Metabolism of steroids	10005	ACOT8
Fatty acid metabolism	10005	ACOT8
Peroxisomal protein import	10005	ACOT8
Signaling by VEGF	10006	ABI1
Signaling by Rho GTPases	10006	ABI1
RHO GTPase Effectors	10006	ABI1
Fcgamma receptor (FCGR) dependent phagocytosis	10006	ABI1
Regulation of actin dynamics for phagocytic cup formation	10006	ABI1
VEGFA-VEGFR2 Pathway	10006	ABI1
RHO GTPases Activate WASPs and WAVEs	10006	ABI1
Leishmania infection	10006	ABI1
Glycolysis	10007	GNPDA1
Glucose metabolism	10007	GNPDA1
Metabolism of carbohydrates	10007	GNPDA1
Cardiac conduction	10008	KCNE3
Phase 2 - plateau phase	10008	KCNE3
Adherens junctions interactions	1001	CDH3
Cell-cell junction organization	1001	CDH3
Cell junction organization	1001	CDH3
Toll Like Receptor 4 (TLR4) Cascade	10010	TANK
MyD88-independent TLR4 cascade	10010	TANK
Toll Like Receptor 3 (TLR3) Cascade	10010	TANK
Toll-like Receptor Cascades	10010	TANK
DDX58/IFIH1-mediated induction of interferon-alpha/beta	10010	TANK
TICAM1-dependent activation of IRF3/IRF7	10010	TANK
TRAF6 mediated IRF7 activation	10010	TANK
Signaling by NOTCH	10013	HDAC6
Macroautophagy	10013	HDAC6
Signaling by NOTCH1	10013	HDAC6
NOTCH1 Intracellular Domain Regulates Transcription	10013	HDAC6
HSF1 activation	10013	HDAC6
Cellular response to heat stress	10013	HDAC6
Notch-HLH transcription pathway	10013	HDAC6
Cilium Assembly	10013	HDAC6
Diseases of signal transduction by growth factor receptors and second messengers	10013	HDAC6
Transcriptional regulation by RUNX2	10013	HDAC6
RUNX2 regulates bone development	10013	HDAC6
Chaperone Mediated Autophagy	10013	HDAC6
Late endosomal microautophagy	10013	HDAC6
Aggrephagy	10013	HDAC6
Selective autophagy	10013	HDAC6
Degradation of cysteine and homocysteine	100131187	TSTD1
Sulfur amino acid metabolism	100131187	TSTD1
Metabolism of amino acids and derivatives	100131187	TSTD1
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	100131439	CD300LD
Keratinization	100131902	KRTAP25-1
Keratinization	100132386	KRTAP4-9
Beta defensins	100133267	DEFB130B
Defensins	100133267	DEFB130B
Antimicrobial peptides	100133267	DEFB130B
L1CAM interactions	100133941	CD24
Telomere Maintenance	100134934	TEN1
Telomere C-strand (Lagging Strand) Synthesis	100134934	TEN1
Extension of Telomeres	100134934	TEN1
Chromosome Maintenance	100134934	TEN1
PIP3 activates AKT signaling	10014	HDAC5
Signaling by NOTCH	10014	HDAC5
Signaling by NOTCH1	10014	HDAC5
NOTCH1 Intracellular Domain Regulates Transcription	10014	HDAC5
Notch-HLH transcription pathway	10014	HDAC5
Diseases of signal transduction by growth factor receptors and second messengers	10014	HDAC5
PTEN Regulation	10014	HDAC5
Regulation of PTEN gene transcription	10014	HDAC5
Intracellular signaling by second messengers	10014	HDAC5
HIV Life Cycle	10015	PDCD6IP
Late Phase of HIV Life Cycle	10015	PDCD6IP
HIV Infection	10015	PDCD6IP
Uptake and function of anthrax toxins	10015	PDCD6IP
Uptake and actions of bacterial toxins	10015	PDCD6IP
Apoptosis	10018	BCL2L11
Intrinsic Pathway for Apoptosis	10018	BCL2L11
Activation of BH3-only proteins	10018	BCL2L11
NRAGE signals death through JNK	10018	BCL2L11
p75 NTR receptor-mediated signalling	10018	BCL2L11
Cell death signalling via NRAGE, NRIF and NADE	10018	BCL2L11
Diseases of signal transduction by growth factor receptors and second messengers	10018	BCL2L11
Signaling by BRAF and RAF fusions	10018	BCL2L11
Oncogenic MAPK signaling	10018	BCL2L11
Death Receptor Signalling	10018	BCL2L11
Transcriptional regulation by RUNX3	10018	BCL2L11
FOXO-mediated transcription	10018	BCL2L11
FOXO-mediated transcription of cell death genes	10018	BCL2L11
Mitochondrial protein import	100188893	TOMM6
Macroautophagy	100188893	TOMM6
Mitophagy	100188893	TOMM6
Pink/Parkin Mediated Mitophagy	100188893	TOMM6
Selective autophagy	100188893	TOMM6
Signaling by SCF-KIT	10019	SH2B3
Regulation of KIT signaling	10019	SH2B3
Factors involved in megakaryocyte development and platelet production	10019	SH2B3
Adherens junctions interactions	1002	CDH4
Cell-cell junction organization	1002	CDH4
Cell junction organization	1002	CDH4
Myogenesis	1002	CDH4
Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein	10020	GNE
Asparagine N-linked glycosylation	10020	GNE
